QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
41,"B25 4415,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,5.385,3.145,3.366,1.285,0.100,0.058
42,"B25 4415,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,2.385,3.145,3.300,1.285,0.200,0.058
43,"B25 4415,(ATT)",ATT,B, FromLeg,0.000,3.000,0.000,0.0000,300.000,3.592,3.145,1.600,1.285,0.108,0.058
44,"B25 4415,(ATT)",ATT,Cc,From Leg,0.000,3.000,0.000,0.0000,300.000,3.592,3.145,1.600,1.285,0.108,0.058
45,"(ATT),CCI HBSA-M65R-KU-H8,(87.8x13.7x8.5)",ATT,B, FromLeg,0.000,3.000,0.000,0.0000,300.000,12.585,11.475,8.940,7.831,0.203,0.055
46,"Sector Frame,(ATT)",ATT,A,From Leg,1.750,0.000,0.000,0.0000,298.000,8.000,12.000,8.250,12.270,0.340,0.490
47,"Sector Frame,(ATT)",ATT,C,From Leg,1.750,0.000,0.000,0.0000,298.000,8.000,12.000,8.250,12.270,0.340,0.490
48,"TTO8-19DB111-001,(ATT)",ATT,A,From Leg,3.000,0.000,0.000,0.0000,300.000,0.793,0.913,0.642,0.752,0.022,0.030
49,"TT08-19DB111-001,(ATT)",ATT,B, FromLeg,3.000,0.000,0.000,0.0000,300.000,0.793,0.913,0.642,0.752,0.022,0.030
50,"TT08-19DB111-001,(ATT)",ATT,C,FromLeg,3.000,0.000,0.000,0.0000,300.000,0.793,0.913,0.642,0.752,0.022,0.030
51,"NNH4-65C-R6-V3,(96x19 6x7 2)",,Cc,From Leg,3.000,0.000,0000,0.0000,300.000,17.073,17.698,8.200,8.794,0.102,0.196
52,"(2) Commscope,NNH4-65C-R6-V3,(96x19.6x7.8)",,Cc,From Leg,3.000,0.000,0.000,0.0000,300.000,17.073,17.698,8.200,8.794,0.102,0.196
53,"(<) Commsctope,NNH4-65C-R6-V3,(96x19.6x7.8)",,©, Fromieg,5,0.000,0.000,.,3.0,1,17.698,6.200,8.794,.1,0.196
54,"Encsson AIRG483,(ATT)",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,6.574,5.945,2.435,2.268,0.208,0.128
55,"Enicsson AIR6488,(ATT)",ATT,C, Fromleg,0.000,3.000,0.000,0.0000,300.000,6.574,5.945,2.735,2.268,0.208,0.128
56,"Ericsson 4449 B5/B12,(17.9x13.2x9.4)",,A,From Leg,0.000,3.000,0.000,0.0000,300.000,6.574,1.969,2.735,1.402,0.208,0.071
57,"(ATT),Ericsson 4449 B5/B12,(17.9x13.2x9_4)",ATT,B, Frmleg,0.000,3.000,0.000,0.0000,300.000,2.329,1.969,1.720,1.402,0.111,0.072
58,"(ATT),Encsson 4449 B5/B12,(17.9x13.2x9.4)",ATT,Cc,From Leg,0.000,3.000,0.000,0.0000,300.000,2.329,1.969,1.720,1.402,0.113,0.071
59,"—_ (ATD _,Encsson 4426 B66,(14.9x9 3x4)",,A,From Leg,0.000,3.000,0.000,0.0000,300.000,2.329,1.155,1.720,0.519,0.111,0.049
